,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Sam Baker 27 yard field goal,3,0
1,1.0,Packers,Jim Grabowski 6 yard rush (Jerry Kramer kick),3,7
2,2.0,Packers,Carroll Dale 12 yard pass from Bart Starr (Jerry Kramer kick),3,14
3,2.0,Eagles,Sam Baker 17 yard field goal,6,14
4,2.0,Packers,Boyd Dowler 55 yard pass from Bart Starr (Jerry Kramer kick),6,21
5,3.0,Packers,Jerry Kramer 17 yard field goal,6,24
6,3.0,Packers,Jerry Kramer 22 yard field goal,6,27
7,4.0,Eagles,Gary Ballman 2 yard pass from King Hill (Sam Baker kick),13,27
8,4.0,Packers,Jerry Kramer 35 yard field goal,13,30
