,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Bill McColl 6 yard pass from George Blanda (George Blanda kick),0,7
1,2.0,Colts,Bert Rechichar 31 yard field goal,3,7
2,3.0,Colts,Dan Edwards 15 yard pass from Fred Enke,9,7
3,4.0,Colts,Buddy Young 28 yard pass from Fred Enke (Buck McPhail kick),16,7
4,4.0,Bears,Bill McColl 5 yard pass from George Blanda (George Blanda kick),16,14
