,Quarter,Tm,Detail,NOR,MIN
0,1.0,Saints,Fred McAfee 3 yard rush (Morten Andersen kick),7,0
1,1.0,Vikings,Steve Jordan 14 yard pass from Sean Salisbury (Fuad Reveiz kick),7,7
2,3.0,Vikings,Cris Carter 7 yard pass from Sean Salisbury (Fuad Reveiz kick),7,14
3,3.0,Saints,Tyrone Hughes 99 yard kickoff return (Morten Andersen kick),14,14
4,4.0,Saints,Morten Andersen 24 yard field goal,17,14
