,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Don Hutson 19 yard pass from Irv Comp (Don Hutson kick),0,7
1,2.0,Packers,Don Hutson 12 yard rush,0,13
2,2.0,Packers,Don Hutson 39 yard pass from Irv Comp (Don Hutson kick),0,20
3,2.0,Packers,Nolan Luhn 44 yard pass from Lou Brock (Don Hutson kick),0,27
4,2.0,Cardinals,Paul Christman 1 yard rush (Joe Kuharich kick),7,27
5,4.0,Cardinals,Ed Rucinski 31 yard pass from Paul Christman (Joe Kuharich kick),14,27
6,4.0,Packers,Ted Fritsch 1 yard rush,14,33
