,Quarter,Time,Tm,Detail,ATL,ARI
0,1.0,6:10,Falcons,Terance Mathis 17 yard pass from Chris Chandler (Jay Feely kick),7,0
1,1.0,2:33,Falcons,Jay Feely 34 yard field goal,10,0
2,2.0,0:04,Falcons,Jay Feely 55 yard field goal,13,0
3,3.0,12:25,Cardinals,Michael Pittman 24 yard rush (Bill Gramatica kick),13,7
4,3.0,4:51,Falcons,Terance Mathis 10 yard pass from Chris Chandler (Jay Feely kick),20,7
5,4.0,14:15,Falcons,Maurice Smith 1 yard rush (Jay Feely kick),27,7
6,4.0,11:27,Falcons,Maurice Smith 79 yard pass from Chris Chandler (Jay Feely kick),34,7
7,4.0,7:59,Cardinals,Terry Hardy 12 yard pass from Jake Plummer (Bill Gramatica kick),34,14
