,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Louis Lipps 25 yard pass from Mark Malone (Gary Anderson kick),0,7
1,1.0,Steelers,Louis Lipps 5 yard pass from Mark Malone (Gary Anderson kick),0,14
2,2.0,Steelers,Gary Anderson 37 yard field goal,0,17
3,3.0,Steelers,Gary Anderson 38 yard field goal,0,20
