,Quarter,Tm,Detail,CHI,PIT
0,1.0,Bears,Gene Ronzani 6 yard pass from Carl Brumbaugh (Jack Manders kick),7,0
1,2.0,Bears,Beattie Feathers 82 yard rush (Jack Manders kick),14,0
2,4.0,Bears,Keith Molesworth 2 yard rush (Jack Manders kick),21,0
3,4.0,Bears,Luke Johnsos 3 yard pass from Keith Molesworth (Jack Manders kick),28,0
