,Quarter,Tm,Detail,SEA,PIT
0,2.0,Steelers,Lynn Swann 4 yard pass from Terry Bradshaw (Roy Gerela kick),0,7
1,2.0,Steelers,Sidney Thornton 20 yard pass from Terry Bradshaw (Roy Gerela kick),0,14
2,2.0,Seahawks,David Sims 1 yard rush (Efren Herrera kick),7,14
3,3.0,Seahawks,Efren Herrera 20 yard field goal,10,14
4,4.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),10,21
