,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,4:53,49ers,David Akers 40 yard field goal,3,0
1,2.0,11:10,49ers,Randy Moss 14 yard pass from Alex Smith (David Akers kick),10,0
2,2.0,4:40,Packers,Jermichael Finley 1 yard pass from Aaron Rodgers (Mason Crosby kick),10,7
3,2.0,0:55,49ers,David Akers 43 yard field goal,13,7
4,2.0,0:00,49ers,David Akers 63 yard field goal,16,7
5,3.0,8:16,49ers,Vernon Davis 4 yard pass from Alex Smith (David Akers kick),23,7
6,4.0,11:16,Packers,Randall Cobb 75 yard punt return (Jordy Nelson pass from Aaron Rodgers ),23,15
7,4.0,8:41,49ers,Frank Gore 23 yard rush (David Akers kick),30,15
8,4.0,6:05,Packers,James Jones 10 yard pass from Aaron Rodgers (Mason Crosby kick),30,22
