,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,J.W. Lockett 29 yard pass from Eddie LeBaron (Sam Baker kick),0,7
1,2.0,Steelers,Joe Womack 16 yard rush (Lou Michaels kick),7,7
2,2.0,Steelers,Buddy Dial 38 yard pass from Bobby Layne (Lou Michaels kick),14,7
3,2.0,Steelers,John Henry Johnson 16 yard pass from Bobby Layne (Lou Michaels kick),21,7
4,3.0,Cowboys,Don Perkins 2 yard rush (Sam Baker kick),21,14
5,3.0,Steelers,"Safety, Dallas holding in end zone",23,14
6,4.0,Cowboys,Don Perkins 6 yard rush (Sam Baker kick),23,21
7,4.0,Steelers,Joe Womack 3 yard rush (Lou Michaels kick),30,21
8,4.0,Cowboys,Frank Clarke 13 yard pass from Eddie LeBaron (Sam Baker kick),30,28
