,Quarter,Tm,Detail,CLE,PHI
0,1.0,Eagles,Timmy Brown 105 yard kickoff return (Bobby Walston kick),0,7
1,1.0,Browns,Lou Groza 20 yard field goal,3,7
2,1.0,Browns,Charley Ferguson 60 yard pass from Milt Plum (Lou Groza kick),10,7
3,1.0,Eagles,Bobby Walston 22 yard field goal,10,10
4,2.0,Eagles,Bobby Walston 18 yard pass from Sonny Jurgensen (Bobby Walston kick),10,17
5,3.0,Browns,Lou Groza 21 yard field goal,13,17
6,3.0,Eagles,Tommy McDonald 6 yard pass from Sonny Jurgensen (Bobby Walston kick),13,24
7,4.0,Eagles,Bobby Walston 18 yard field goal,13,27
8,4.0,Browns,Bobby Mitchell 12 yard pass from Milt Plum (Lou Groza kick),20,27
