,Quarter,Time,Tm,Detail,NOR,CHI
0,1,14:48,Bears,Danieal Manning 83 yard kickoff return (Robbie Gould kick),0,7
1,2,9:52,Saints,Pierre Thomas 2 yard pass from Drew Brees (Garrett Hartley kick),7,7
2,2,7:42,Bears,Matt Forte 1 yard rush (Robbie Gould kick),7,14
3,2,0:49,Bears,Kyle Orton 6 yard rush (Robbie Gould kick),7,21
4,3,3:44,Saints,Pierre Thomas 42 yard rush (Garrett Hartley kick),14,21
5,4,9:07,Saints,Garrett Hartley 30 yard field goal,17,21
6,4,3:05,Saints,Marques Colston 11 yard pass from Drew Brees (Garrett Hartley kick),24,21
7,4,0:00,Bears,Robbie Gould 28 yard field goal,24,24
8,OT,12:14,Bears,Robbie Gould 35 yard field goal,24,27
