,Quarter,Time,Tm,Detail,SEA,LAR
0,1.0,8:39,Seahawks,Jason Myers 39 yard field goal,3,0
1,1.0,5:12,Rams,Malcolm Brown 1 yard rush (Greg Zuerlein kick),3,7
2,2.0,11:33,Rams,Robert Woods 2 yard pass from Jared Goff (Greg Zuerlein kick),3,14
3,2.0,0:56,Rams,Cooper Kupp 10 yard pass from Jared Goff (Greg Zuerlein kick),3,21
4,3.0,13:05,Seahawks,Quandre Diggs 55 yard interception return (Jason Myers kick failed),9,21
5,4.0,11:13,Rams,Todd Gurley 7 yard rush (Greg Zuerlein kick),9,28
6,4.0,7:07,Seahawks,Jason Myers 34 yard field goal,12,28
