,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Bruce Gossett 15 yard field goal,3,0
1,2.0,Rams,Jack Snow 51 yard pass from Roman Gabriel (Bruce Gossett kick),10,0
2,2.0,Rams,Bruce Gossett 15 yard field goal,13,0
3,2.0,Rams,Bruce Gossett 23 yard field goal,16,0
4,2.0,Falcons,Gary Barnes 53 yard pass from Randy Johnson (Wade Traynham kick),16,7
5,3.0,Falcons,Randy Johnson 3 yard rush (Wade Traynham kick),16,14
6,3.0,Rams,Bruce Gossett 22 yard field goal,19,14
