,Quarter,Tm,Detail,BKN,PIT
0,3.0,Dodgers,Ace Parker 2 yard rush (Ace Parker kick),7,0
1,3.0,Dodgers,Ace Parker 44 yard punt return,13,0
2,4.0,Dodgers,Joe Maniaci 29 yard field goal,16,0
3,4.0,Dodgers,Buster Mitchell 15 yard pass from Ace Parker (Joe Maniaci kick),23,0
