,Quarter,Tm,Detail,CIN,OAK
0,1.0,Bengals,Ian Sunter 29 yard field goal,3,0
1,2.0,Raiders,Mark van Eeghen 2 yard rush (Chris Bahr kick),3,7
2,2.0,Bengals,Dan Ross 1 yard pass from Ken Anderson (Ian Sunter kick),10,7
3,2.0,Raiders,Kenny King 8 yard rush (Chris Bahr kick),10,14
4,3.0,Raiders,Arthur Whittington 90 yard kickoff return (Chris Bahr kick),10,21
5,4.0,Bengals,Don Bass 20 yard pass from Jack Thompson (Ian Sunter kick),17,21
6,4.0,Raiders,Jim Plunkett 4 yard rush (Chris Bahr kick),17,28
