,Quarter,Tm,Detail,WAS,CHI
0,1.0,Bears,Bob Avellini 4 yard rush (Bob Thomas kick),0,7
1,1.0,Bears,Bob Thomas 47 yard field goal,0,10
2,2.0,Bears,James Scott 6 yard pass from Bob Avellini (Bob Thomas kick),0,17
3,2.0,Bears,Bob Thomas 34 yard field goal,0,20
4,3.0,Bears,Walter Payton 10 yard rush (Bob Thomas kick),0,27
5,4.0,Bears,Bob Thomas 39 yard field goal,0,30
6,4.0,Bears,Bob Thomas 35 yard field goal,0,33
7,4.0,Redskins,Jerry Smith 1 yard pass from Joe Theismann (Mark Moseley kick),7,33
