,Quarter,Tm,Detail,CIN,BAL
0,2.0,Bengals,Isaac Curtis 77 yard pass from Ken Anderson (Horst Muhlmann kick),7,0
1,2.0,Bengals,Essex Johnson 27 yard pass from Ken Anderson (Horst Muhlmann kick),14,0
2,2.0,Bengals,Horst Muhlmann 18 yard field goal,17,0
3,3.0,Colts,Lydell Mitchell 6 yard rush (Toni Linhart kick),17,7
4,4.0,Colts,Lydell Mitchell 1 yard rush (Toni Linhart kick),17,14
5,4.0,Bengals,Isaac Curtis 45 yard pass from Ken Anderson (Horst Muhlmann kick),24,14
