,Quarter,Tm,Detail,POT,NYG
0,1.0,Giants,"Safety, Punt blocked out of end zone",0,2
1,1.0,Giants,Jack McBride 20 yard rush,0,8
2,4.0,Giants,"Safety, Punt snapped out of end zone",0,10
3,4.0,Giants,Doug Wycoff 35 yard interception return,0,16
