,Quarter,Time,Tm,Detail,KAN,LAC
0,1.0,9:34,Chargers,Michael Badgley 27 yard field goal,0,3
1,2.0,8:50,Chiefs,LeSean McCoy 6 yard rush (Harrison Butker kick),7,3
2,2.0,5:03,Chargers,Michael Badgley 26 yard field goal,7,6
3,2.0,1:47,Chiefs,Harrison Butker 41 yard field goal,10,6
4,2.0,0:01,Chargers,Michael Badgley 49 yard field goal,10,9
5,3.0,9:33,Chiefs,Darrel Williams 6 yard rush (Harrison Butker kick),17,9
6,3.0,5:01,Chiefs,Travis Kelce 23 yard pass from Patrick Mahomes (Harrison Butker kick),24,9
7,3.0,1:49,Chargers,Keenan Allen 7 yard pass from Philip Rivers (Hunter Henry pass from Philip Rivers),24,17
