,Quarter,Tm,Detail,PIT,RAI
0,1.0,Steelers,Gary Anderson 17 yard field goal,3,0
1,1.0,Raiders,Lester Hayes 18 yard interception return (Chris Bahr kick),3,7
2,2.0,Raiders,Marcus Allen 4 yard rush (Chris Bahr kick),3,14
3,2.0,Raiders,Chris Bahr 45 yard field goal,3,17
4,3.0,Raiders,Kenny King 9 yard rush (Chris Bahr kick),3,24
5,3.0,Raiders,Marcus Allen 49 yard rush (Chris Bahr kick),3,31
6,3.0,Steelers,John Stallworth 58 yard pass from Cliff Stoudt (Gary Anderson kick),10,31
7,3.0,Raiders,Frank Hawkins 2 yard rush (Chris Bahr kick),10,38
