,Quarter,Tm,Detail,DET,CLE
0,1.0,Browns,Jim Brown 6 yard rush (Lou Groza kick),0,7
1,1.0,Lions,Dan Lewis 92 yard pass from Milt Plum (Wayne Walker kick),7,7
2,1.0,Lions,Jim Gibbons 4 yard pass from Milt Plum (Wayne Walker kick),14,7
3,2.0,Browns,Lou Groza 38 yard field goal,14,10
4,2.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),14,17
5,2.0,Lions,Terry Barr 39 yard pass from Milt Plum (Wayne Walker kick),21,17
6,2.0,Browns,Lou Groza 47 yard field goal,21,20
7,3.0,Browns,Paul Warfield 8 yard pass from Frank Ryan (Lou Groza kick),21,27
8,4.0,Browns,Lou Groza 36 yard field goal,21,30
9,4.0,Browns,Walter Beach 65 yard interception return (Lou Groza kick),21,37
