,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Morten Andersen 40 yard field goal,3,0
1,1.0,49ers,Jerry Rice 46 yard pass from Steve Young (Ray Wersching kick),3,7
2,2.0,Saints,Morten Andersen 27 yard field goal,6,7
3,2.0,Saints,Morten Andersen 51 yard field goal,9,7
4,3.0,Saints,Mike Jones 43 yard pass from Bobby Hebert (Morten Andersen kick),16,7
5,3.0,49ers,Jerry Rice 50 yard pass from Harry Sydney (Ray Wersching kick),16,14
6,3.0,Saints,Johnnie Poe 61 yard blocked field goal return (Morten Andersen kick),23,14
7,4.0,49ers,Ray Wersching 35 yard field goal,23,17
8,4.0,49ers,Ron Heller 29 yard pass from Joe Montana (Ray Wersching kick),23,24
9,4.0,Saints,Morten Andersen 40 yard field goal,26,24
