,Quarter,Time,Tm,Detail,NWE,BUF
0,1,1:32,Bills,Steve Christie 28 yard field goal,0,3
1,2,1:01,Bills,Eric Moulds 54 yard pass from Doug Flutie (Steve Christie kick),0,10
2,3,10:21,Bills,Sam Gash 31 yard pass from Doug Flutie (Steve Christie kick),0,17
3,4,2:41,Patriots,Terry Glenn 45 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,17
