,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Mike Lucci 31 yard interception return (Garo Yepremian kick),7,0
1,2.0,Lions,Mel Farr 1 yard rush (Garo Yepremian kick),14,0
2,2.0,49ers,Tommy Davis 13 yard field goal,14,3
3,3.0,Lions,Garo Yepremian 26 yard field goal,17,3
4,3.0,Lions,Tom Nowatzke 4 yard rush (Garo Yepremian kick),24,3
5,4.0,Lions,Tom Nowatzke 19 yard pass from Karl Sweetan (Garo Yepremian kick),31,3
6,4.0,Lions,Amos Marsh 18 yard rush (Garo Yepremian kick),38,3
7,4.0,Lions,Karl Sweetan 5 yard rush (Garo Yepremian kick),45,3
