,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,6:15,Titans,Kevin Dyson 20 yard pass from Steve McNair (Joe Nedney kick),0,7
1,2.0,14:12,Jaguars,Stacey Mack 1 yard rush (Mike Hollis kick),7,7
2,2.0,7:40,Jaguars,Kyle Brady 3 yard pass from Mark Brunell (Mike Hollis kick),14,7
3,2.0,0:00,Jaguars,Mike Hollis 38 yard field goal,17,7
4,3.0,6:59,Titans,Steve McNair 5 yard rush (Joe Nedney kick),17,14
5,4.0,14:07,Titans,Derrick Mason 5 yard pass from Steve McNair (Joe Nedney kick),17,21
6,4.0,3:05,Jaguars,Frank Moreau 4 yard rush (Mike Hollis kick),24,21
7,4.0,0:44,Titans,Steve McNair 1 yard rush (Joe Nedney kick),24,28
