,Quarter,Time,Tm,Detail,GNB,SEA
0,1.0,,Packers,Antonio Freeman 13 yard pass from Brett Favre (Chris Jacke kick),7,0
1,1.0,,Packers,Chris Jacke 36 yard field goal,10,0
2,2.0,,Packers,Dorsey Levens 4 yard pass from Brett Favre (Chris Jacke kick),17,0
3,2.0,,Seahawks,Chris Warren 37 yard rush (Todd Peterson kick),17,7
4,3.0,,Packers,Keith Jackson 10 yard pass from Brett Favre (Chris Jacke kick),24,7
5,3.0,,Seahawks,Todd Peterson 44 yard field goal,24,10
6,4.0,,Packers,Antonio Freeman 4 yard pass from Brett Favre (Chris Jacke kick),31,10
