,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Dicky Moegle 3 yard rush (Gordie Soltau kick),7,0
1,2.0,Packers,Joe Johnson 30 yard pass from Tobin Rote (Fred Cone kick),7,7
2,2.0,Packers,Fred Cone 17 yard field goal,7,10
3,2.0,49ers,Carroll Hardy 33 yard pass from Y.A. Tittle (Gordie Soltau kick),14,10
4,2.0,Packers,Fred Cone 29 yard field goal,14,13
5,3.0,49ers,Carroll Hardy 58 yard pass from Y.A. Tittle (Gordie Soltau kick),21,13
6,4.0,Packers,Gary Knafelc 34 yard pass from Tobin Rote (Fred Cone kick),21,20
7,4.0,Packers,Howie Ferguson 6 yard rush (Fred Cone kick),21,27
