,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,7:25,Titans,Al Del Greco 22 yard field goal,3,0
1,2.0,13:48,Bengals,Corey Dillon 80 yard rush (Neil Rackers kick),3,7
2,2.0,6:45,Titans,Derrick Mason 19 yard pass from Steve McNair (Al Del Greco kick),10,7
3,2.0,2:48,Bengals,Darryl Williams 36 yard interception return (Neil Rackers kick),10,14
4,3.0,8:48,Titans,Eddie George 5 yard rush (Al Del Greco kick),17,14
5,3.0,3:28,Titans,Al Del Greco 41 yard field goal,20,14
6,4.0,2:06,Titans,Al Del Greco 34 yard field goal,23,14
