,Quarter,Time,Tm,Detail,DAL,ARI
0,1,14:45,Cardinals,J.J. Arrington 93 yard kickoff return (Neil Rackers kick),0,7
1,2,0:59,Cowboys,Patrick Crayton 55 yard pass from Tony Romo (Nick Folk kick),7,7
2,3,8:11,Cowboys,Miles Austin 14 yard pass from Tony Romo (Nick Folk kick),14,7
3,3,3:21,Cardinals,Larry Fitzgerald 2 yard pass from Kurt Warner (Neil Rackers kick),14,14
4,4,10:44,Cardinals,Steve Breaston 11 yard pass from Kurt Warner (Neil Rackers kick),14,21
5,4,3:17,Cardinals,Neil Rackers 41 yard field goal,14,24
6,4,2:00,Cowboys,Marion Barber III 70 yard pass from Tony Romo (Nick Folk kick),21,24
7,4,0:00,Cowboys,Nick Folk 52 yard field goal,24,24
8,OT,14:00,Cardinals,Monty Beisel 3 yard blocked punt return,24,30
