,Quarter,Time,Tm,Detail,LAC,KAN
0,1.0,9:09,Chiefs,Demarcus Robinson 5 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
1,1.0,0:43,Chiefs,Darrel Williams 11 yard pass from Patrick Mahomes (Harrison Butker kick),0,14
2,2.0,9:43,Chargers,Mike Williams 3 yard pass from Philip Rivers (Michael Badgley kick),7,14
3,3.0,11:38,Chiefs,Damien Williams 2 yard rush (Harrison Butker kick),7,21
4,3.0,4:57,Chargers,Mike Williams 19 yard rush (Michael Badgley kick),14,21
5,4.0,8:15,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick),14,28
6,4.0,3:49,Chargers,Justin Jackson 3 yard rush (Michael Badgley kick),21,28
7,4.0,0:04,Chargers,Mike Williams 1 yard pass from Philip Rivers (Mike Williams pass from Philip Rivers),29,28
