,Quarter,Time,Tm,Detail,NWE,SFO
0,1.0,8:57,49ers,Frank Gore 16 yard pass from J.T. O'Sullivan (Joe Nedney kick),0,7
1,1.0,7:35,Patriots,Randy Moss 66 yard pass from Matt Cassel (Stephen Gostkowski kick),7,7
2,1.0,5:25,49ers,Isaac Bruce 6 yard pass from J.T. O'Sullivan (Joe Nedney kick),7,14
3,2.0,5:22,Patriots,Stephen Gostkowski 35 yard field goal,10,14
4,2.0,0:06,Patriots,Kevin Faulk 2 yard rush (Stephen Gostkowski kick),17,14
5,3.0,5:25,Patriots,Kevin Faulk 2 yard rush (Stephen Gostkowski kick),24,14
6,4.0,14:53,Patriots,Stephen Gostkowski 40 yard field goal,27,14
7,4.0,10:22,49ers,Isaac Bruce 5 yard pass from J.T. O'Sullivan (Joe Nedney kick),27,21
8,4.0,4:42,Patriots,Stephen Gostkowski 49 yard field goal,30,21
