,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Joe Muha 40 yard field goal,0,3
1,1.0,Eagles,Pete Pihos 19 yard pass from Tommy Thompson (Cliff Patton kick),0,10
2,2.0,Redskins,Bob Nussbaumer 25 yard pass from Sammy Baugh (Dick Poillon kick),7,10
3,2.0,Redskins,Hugh Taylor 62 yard pass from Sammy Baugh (Dick Poillon kick),14,10
4,2.0,Eagles,Steve Van Buren 95 yard kickoff return (Cliff Patton kick),14,17
5,2.0,Eagles,Allie Sherman 1 yard rush (Cliff Patton kick),14,24
6,3.0,Redskins,Eddie Saenz 94 yard kickoff return (Dick Poillon kick),21,24
7,3.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),21,31
8,3.0,Eagles,Pete Pihos 21 yard pass from Tommy Thompson (Cliff Patton kick),21,38
9,3.0,Redskins,Dick Poillon 57 yard pass from Sammy Baugh (Dick Poillon kick),28,38
10,4.0,Eagles,Neill Armstrong 29 yard pass from Tommy Thompson (Cliff Patton kick),28,45
11,4.0,Redskins,Hugh Taylor 36 yard pass from Sammy Baugh (Dick Poillon kick),35,45
12,4.0,Redskins,Hugh Taylor 18 yard pass from Sammy Baugh (Dick Poillon kick),42,45
