,Quarter,Tm,Detail,HOU,DAL
0,1.0,Cowboys,Drew Pearson 56 yard pass from Roger Staubach (Rafael Septien kick),0,7
1,1.0,Oilers,Earl Campbell 61 yard rush (Toni Fritsch kick),7,7
2,1.0,Cowboys,Robert Newhouse 21 yard pass from Roger Staubach (Rafael Septien kick),7,14
3,2.0,Oilers,Toni Fritsch 27 yard field goal,10,14
4,2.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),10,21
5,2.0,Oilers,Earl Campbell 27 yard rush (Toni Fritsch kick),17,21
6,3.0,Oilers,Mike Renfro 47 yard pass from Dan Pastorini,23,21
7,4.0,Cowboys,Rafael Septien 44 yard field goal,23,24
8,4.0,Oilers,Ken Burrough 32 yard pass from Dan Pastorini (Toni Fritsch kick),30,24
