,Quarter,Tm,Detail,MIN,CHI
0,1,Vikings,Fuad Reveiz 26 yard field goal,3,0
1,2,Bears,Tom Waddle 37 yard pass from Jim Harbaugh (Kevin Butler kick),3,7
2,3,Vikings,Fuad Reveiz 24 yard field goal,6,7
3,4,Bears,Kevin Butler 22 yard field goal,6,10
