,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,10:26,49ers,Vernon Davis 1 yard pass from Alex Smith (Joe Nedney kick),7,0
1,1.0,5:40,Panthers,John Kasay 47 yard field goal,7,3
2,2.0,8:44,49ers,Joe Nedney 24 yard field goal,10,3
3,2.0,2:28,Panthers,David Gettis 18 yard pass from Matt Moore (John Kasay kick),10,10
4,3.0,9:49,Panthers,John Kasay 55 yard field goal,10,13
5,4.0,14:56,49ers,Joe Nedney 38 yard field goal,13,13
6,4.0,12:52,49ers,Ray McDonald 31 yard interception return (Joe Nedney kick),20,13
7,4.0,1:53,Panthers,David Gettis 23 yard pass from Matt Moore (John Kasay kick),20,20
8,4.0,0:39,Panthers,John Kasay 37 yard field goal,20,23
