,Quarter,Tm,Detail,NYG,SIS
0,1.0,Giants,Tony Plansky unknown yard rush (Benny Friedman kick),7,0
1,1.0,Giants,Len Sedbrook 40 yard pass from Benny Friedman (Benny Friedman kick),14,0
2,3.0,Stapletons,Hinkey Haines unknown yard rush (Ken Strong kick),14,7
3,4.0,Giants,Ray Flaherty unknown yard pass from Benny Friedman (Benny Friedman kick),21,7
