,Quarter,Time,Tm,Detail,GNB,SFO
0,2.0,14:51,49ers,Wade Richey 35 yard field goal,0,3
1,2.0,11:50,Packers,Corey Bradford 13 yard pass from Brett Favre (Ryan Longwell kick),7,3
2,2.0,0:27,Packers,Ryan Longwell 23 yard field goal,10,3
3,3.0,3:42,Packers,Tyrone Davis 10 yard pass from Brett Favre (Ryan Longwell kick),17,3
4,4.0,11:36,Packers,Ryan Longwell 22 yard field goal,20,3
