,Quarter,Time,Tm,Detail,WAS,JAX
0,1.0,10:37,Redskins,Rod Gardner 20 yard pass from Shane Matthews (James Tuthill kick),7,0
1,2.0,9:11,Jaguars,Stacey Mack 2 yard rush (Tim Seder kick),7,7
2,2.0,0:08,Jaguars,Tim Seder 27 yard field goal,7,10
3,3.0,8:50,Jaguars,Tim Seder 43 yard field goal,7,13
4,3.0,2:30,Jaguars,Tim Seder 27 yard field goal,7,16
5,3.0,0:18,Jaguars,Fred Taylor 12 yard rush (Tim Seder kick),7,23
6,4.0,8:50,Jaguars,Tim Seder 42 yard field goal,7,26
