,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Charlie Gogolak 21 yard field goal,3,0
1,1.0,Colts,Lou Michaels 22 yard field goal,3,3
2,2.0,Colts,Lou Michaels 13 yard field goal,3,6
3,2.0,Colts,Jimmy Orr 42 yard pass from Johnny Unitas (Lou Michaels kick),3,13
4,2.0,Colts,Raymond Berry 8 yard pass from Johnny Unitas (Lou Michaels kick),3,20
5,2.0,Colts,Lou Michaels 33 yard field goal,3,23
6,3.0,Colts,Raymond Berry 1 yard pass from Johnny Unitas (Lou Michaels kick),3,30
7,3.0,Redskins,Charley Taylor 20 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,30
8,4.0,Colts,Butch Wilson 9 yard pass from Gary Cuozzo (Lou Michaels kick),10,37
