,Quarter,Tm,Detail,RAM,BAL
0,2.0,Rams,Lou Michaels 51 yard field goal,3,0
1,2.0,Colts,Lenny Moore 57 yard rush (Steve Myhra kick),3,7
2,2.0,Colts,Lenny Moore 1 yard rush (Steve Myhra kick),3,14
3,3.0,Colts,Lenny Moore 34 yard rush (Steve Myhra kick),3,21
4,3.0,Rams,Jon Arnett 11 yard rush (Danny Villanueva kick),10,21
5,3.0,Colts,Steve Myhra 10 yard field goal,10,24
6,4.0,Colts,Lenny Moore 22 yard pass from Johnny Unitas (Steve Myhra kick),10,31
7,4.0,Rams,Billy Wade 2 yard rush (Danny Villanueva kick),17,31
