,Quarter,Tm,Detail,NOR,CIN
0,1.0,Saints,Gill Fenerty 5 yard rush (Morten Andersen kick),7,0
1,2.0,Saints,Rueben Mayes 6 yard rush (Morten Andersen kick),14,0
2,2.0,Bengals,Eddie Brown 9 yard pass from Boomer Esiason (Jim Breech kick),14,7
3,4.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),21,7
