,Quarter,Tm,Detail,NOR,STL
0,1.0,Cardinals,Mark Jackson 77 yard defensive fumble return (Jason Staurovsky kick),0,7
1,1.0,Cardinals,Jason Staurovsky 24 yard field goal,0,10
2,2.0,Cardinals,Leonard Smith 29 yard defensive fumble return (Jason Staurovsky kick),0,17
3,2.0,Saints,Eric Martin 5 yard pass from Kevin Ingram,6,17
4,3.0,Saints,Dwight Beverly 3 yard rush,12,17
5,4.0,Cardinals,Sammy Garza 2 yard rush (Jason Staurovsky kick),12,24
6,4.0,Saints,Dwight Beverly 5 yard rush (Mike Cofer kick),19,24
