,Quarter,Tm,Detail,BAL,NWE
0,1.0,Colts,Toni Linhart 28 yard field goal,3,0
1,1.0,Patriots,John Smith 31 yard field goal,3,3
2,2.0,Patriots,John Smith 27 yard field goal,3,6
3,2.0,Colts,Glenn Doughty 12 yard pass from Bert Jones (Toni Linhart kick),10,6
4,2.0,Colts,Glenn Doughty 6 yard pass from Bert Jones (Toni Linhart kick),17,6
5,3.0,Colts,Toni Linhart 32 yard field goal,20,6
6,4.0,Patriots,Andy Johnson 4 yard rush (John Smith kick),20,13
7,4.0,Colts,Lydell Mitchell 10 yard rush (Toni Linhart kick),27,13
