,Quarter,Time,Tm,Detail,WAS,IND
0,1.0,13:18,Redskins,Kai Forbath 25 yard field goal,3,0
1,1.0,6:05,Colts,Coby Fleener 30 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2,2.0,12:27,Colts,Dan Herron 49 yard rush (Adam Vinatieri kick),3,14
3,2.0,6:53,Colts,T.Y. Hilton 3 yard pass from Andrew Luck (Adam Vinatieri kick),3,21
4,2.0,1:59,Redskins,Roy Helu 21 yard pass from Colt McCoy (Kai Forbath kick),10,21
5,3.0,11:22,Redskins,Logan Paulsen 16 yard pass from Colt McCoy (Kai Forbath kick),17,21
6,3.0,10:05,Colts,Donte Moncrief 48 yard pass from Andrew Luck (Adam Vinatieri kick),17,28
7,3.0,7:30,Colts,D'Qwell Jackson 35 yard defensive fumble return (Adam Vinatieri kick),17,35
8,3.0,5:12,Redskins,DeSean Jackson 42 yard pass from Colt McCoy (Kai Forbath kick),24,35
9,3.0,4:45,Colts,Coby Fleener 73 yard pass from Andrew Luck (Adam Vinatieri kick),24,42
10,4.0,12:00,Redskins,Kai Forbath 29 yard field goal,27,42
11,4.0,10:34,Colts,Donte Moncrief 79 yard pass from Andrew Luck (Adam Vinatieri kick),27,49
