,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,Dennis McKinnon 64 yard pass from Mike Tomczak (Kevin Butler kick),0,7
1,1.0,Eagles,Luis Zendejas 42 yard field goal,3,7
2,2.0,Eagles,Luis Zendejas 29 yard field goal,6,7
3,2.0,Bears,Neal Anderson 4 yard rush (Kevin Butler kick),6,14
4,2.0,Bears,Kevin Butler 46 yard field goal,6,17
5,2.0,Eagles,Luis Zendejas 30 yard field goal,9,17
6,3.0,Eagles,Luis Zendejas 35 yard field goal,12,17
7,4.0,Bears,Kevin Butler 27 yard field goal,12,20
