,Quarter,Tm,Detail,CRD,GNB
0,1.0,Cardinals,Bill Daddio 27 yard field goal,3,0
1,1.0,Packers,Don Hutson 25 yard pass from Cecil Isbell (Don Hutson kick),3,7
2,2.0,Packers,Clarke Hinkle 35 yard field goal,3,10
3,3.0,Cardinals,Johnny Martin 27 yard pass from Johnny Clement,9,10
4,4.0,Packers,Don Hutson 11 yard rush (Don Hutson kick),9,17
