,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Darrin Nelson 7 yard pass from Tommy Kramer (Jan Stenerud kick),0,7
1,2.0,Vikings,Ted Brown 2 yard rush (Jan Stenerud kick),0,14
2,3.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),7,14
3,3.0,Lions,Eddie Murray 44 yard field goal,10,14
4,4.0,Lions,Eddie Murray 41 yard field goal,13,14
5,4.0,Lions,Eddie Murray 41 yard field goal,16,14
