,Quarter,Tm,Detail,NYJ,ATL
0,1.0,Falcons,Norm Johnson 25 yard field goal,0,3
1,1.0,Falcons,Michael Haynes 14 yard pass from Chris Miller (Norm Johnson kick),0,10
2,1.0,Falcons,Michael Haynes 11 yard pass from Chris Miller (Norm Johnson kick),0,17
3,2.0,Jets,Jason Staurovsky 43 yard field goal,3,17
4,2.0,Falcons,Norm Johnson 54 yard field goal,3,20
5,2.0,Jets,Al Toon 15 yard pass from Browning Nagle (Jason Staurovsky kick),10,20
6,3.0,Jets,Chris Burkett 37 yard pass from Browning Nagle (Jason Staurovsky kick),17,20
