,Quarter,Tm,Detail,DET,BUF
0,2.0,Lions,Earl McCullouch 9 yard pass from Greg Landry (Errol Mann kick),7,0
1,2.0,Bills,J.D. Hill 58 yard pass from Dennis Shaw (John Leypoldt kick),7,7
2,3.0,Bills,Bob Chandler 39 yard pass from Dennis Shaw (John Leypoldt kick),7,14
3,3.0,Lions,Nick Eddy 36 yard pass from Greg Landry (Errol Mann kick),14,14
4,4.0,Bills,Jan White 2 yard pass from Dennis Shaw (John Leypoldt kick),14,21
5,4.0,Lions,Ron Jessie 37 yard pass from Greg Landry (Errol Mann kick),21,21
