,Quarter,Time,Tm,Detail,CAR,STL
0,1.0,10:59,Panthers,Joe Nedney 35 yard field goal,3,0
1,1.0,4:25,Rams,Az-Zahir Hakim 14 yard pass from Trent Green (Pete Stoyanovich kick),3,7
2,1.0,0:11,Panthers,Joe Nedney 45 yard field goal,6,7
3,2.0,10:38,Rams,Pete Stoyanovich 28 yard field goal,6,10
4,2.0,5:55,Panthers,Casey Crawford 16 yard pass from Steve Beuerlein (Joe Nedney kick),13,10
5,3.0,9:53,Panthers,Joe Nedney 24 yard field goal,16,10
6,3.0,5:19,Rams,Isaac Bruce 4 yard pass from Trent Green (Pete Stoyanovich kick),16,17
7,3.0,2:26,Rams,Justin Watson 3 yard rush (Pete Stoyanovich kick),16,24
8,4.0,10:43,Panthers,Donald Hayes 13 yard pass from Steve Beuerlein (Steve Beuerlein run),24,24
9,4.0,0:40,Panthers,Joe Nedney 46 yard field goal,27,24
