,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Harry Sydney 2 yard rush (Chris Jacke kick),7,0
1,1.0,Vikings,Steve Jordan 13 yard pass from Sean Salisbury (Fuad Reveiz kick),7,7
2,2.0,Vikings,Fuad Reveiz 46 yard field goal,7,10
3,2.0,Vikings,Mike Tice 34 yard pass from Sean Salisbury (Fuad Reveiz kick),7,17
4,2.0,Vikings,Fuad Reveiz 32 yard field goal,7,20
5,3.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),7,27
