,Quarter,Tm,Detail,BUF,FRN
0,4.0,Yellow Jackets,Wally Diehl 2 yard rush (Ken Mercer kick),0,7
1,4.0,Yellow Jackets,Two-Bits Homan 24 yard pass from Wally Diehl,0,13
2,4.0,Yellow Jackets,Ed Halicki 1 yard rush,0,19
