,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Les Richter 19 yard field goal,0,3
1,1.0,49ers,Gordie Soltau 17 yard field goal,3,3
2,2.0,Rams,Bob Boyd 4 yard pass from Billy Wade (Les Richter kick),3,10
3,2.0,Rams,Les Richter 27 yard field goal,3,13
4,2.0,49ers,Gordie Soltau 14 yard field goal,6,13
5,3.0,Rams,Elroy Hirsch 38 yard pass from Billy Wade (Les Richter kick),6,20
6,4.0,Rams,Bud McFadin 45 yard field goal,6,23
7,4.0,Rams,Joe Marconi 2 yard rush (Les Richter kick),6,30
