,Quarter,Tm,Detail,CHI,GNB
0,3.0,Packers,Fred Cone 40 yard field goal,0,3
1,4.0,Bears,Billy Stone 5 yard pass from George Blanda (George Blanda kick),7,3
2,4.0,Bears,George Blanda 23 yard field goal,10,3
