,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Curt Knight 30 yard field goal,3,0
1,2.0,Redskins,Charlie Harraway 1 yard rush (Curt Knight kick),10,0
2,3.0,Cardinals,Jim Bakken 46 yard field goal,10,3
3,3.0,Redskins,Curt Knight 8 yard field goal,13,3
4,3.0,Redskins,Curt Knight 42 yard field goal,16,3
5,4.0,Redskins,Curt Knight 36 yard field goal,19,3
6,4.0,Redskins,Charlie Harraway 4 yard rush (Curt Knight kick),26,3
7,4.0,Redskins,Bob Brunet 2 yard rush (Curt Knight kick),33,3
