,Quarter,Time,Tm,Detail,DEN,SEA
0,2.0,11:39,Seahawks,Michael Sinclair 63 yard defensive fumble return (Rian Lindell kick),0,7
1,2.0,6:33,Broncos,Jason Elam 35 yard field goal,3,7
2,2.0,2:54,Seahawks,Ricky Watters 1 yard rush (Rian Lindell kick),3,14
3,2.0,1:36,Broncos,Desmond Clark 43 yard pass from Gus Frerotte (Jason Elam kick),10,14
4,3.0,6:57,Broncos,Mike Anderson 15 yard rush (Jason Elam kick),17,14
5,3.0,2:12,Seahawks,Chad Brown 10 yard defensive fumble return (Rian Lindell kick),17,21
6,3.0,0:27,Seahawks,Rian Lindell 42 yard field goal,17,24
7,4.0,12:37,Broncos,Rod Smith 50 yard rush (Jason Elam kick),24,24
8,4.0,5:54,Broncos,Jimmy Spencer 21 yard interception return (Jason Elam kick),31,24
9,4.0,4:02,Seahawks,Sean Dawkins 8 yard pass from Jon Kitna (Rian Lindell kick),31,31
10,4.0,3:34,Broncos,Mike Anderson 80 yard rush (Jason Elam kick),38,31
