,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,9:37,Saints,Billy Joe Tolliver 2 yard rush (Doug Brien kick),0,7
1,1.0,1:33,49ers,Wade Richey 52 yard field goal,3,7
2,2.0,9:31,Saints,Billy Joe Tolliver 2 yard rush (Doug Brien kick),3,14
3,2.0,0:37,49ers,Wade Richey 22 yard field goal,6,14
4,3.0,7:30,Saints,Andre Hastings 11 yard pass from Billy Joe Tolliver (Doug Brien kick),6,21
5,4.0,7:38,Saints,Doug Brien 28 yard field goal,6,24
