,Quarter,Tm,Detail,CRD,GNB
0,1.0,Cardinals,Vince Banonis 28 yard interception return (Pat Harder kick),7,0
1,1.0,Packers,Ted Fritsch 18 yard field goal,7,3
2,1.0,Cardinals,Vic Schwall 18 yard pass from Paul Christman (Pat Harder kick),14,3
3,1.0,Cardinals,Vinnie Yablonski 25 yard field goal,17,3
4,2.0,Packers,Bill Kelley 8 yard pass from Stan Heath (Ted Fritsch kick),17,10
5,2.0,Cardinals,Vinnie Yablonski 27 yard field goal,20,10
6,2.0,Cardinals,Vinnie Yablonski 34 yard field goal,23,10
7,3.0,Cardinals,Pat Harder 16 yard rush (Pat Harder kick),30,10
8,3.0,Cardinals,Tom Wham 46 yard interception return (Pat Harder kick),37,10
9,4.0,Packers,Tony Canadeo 5 yard rush (Ted Fritsch kick),37,17
10,4.0,Cardinals,"Safety, Cifers tackled in end zone",39,17
