,Quarter,Time,Tm,Detail,PHI,NYG
0,1,3:14,Eagles,Brian Westbrook 6 yard rush (David Akers kick),7,0
1,2,0:22,Giants,Brett Conway 39 yard field goal,7,3
2,3,5:19,Giants,Jeremy Shockey 1 yard pass from Kerry Collins (Brett Conway kick),7,10
3,4,1:16,Eagles,Brian Westbrook 84 yard punt return (David Akers kick),14,10
