,Quarter,Tm,Detail,NYG,ATL
0,1.0,Falcons,Cannonball Butler 6 yard rush (Bob Etter kick),0,7
1,1.0,Giants,Homer Jones 44 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,2.0,Giants,Aaron Thomas 28 yard pass from Fran Tarkenton (Pete Gogolak kick),14,7
3,2.0,Falcons,Perry Lee Dunn 1 yard rush (Bob Etter kick),14,14
4,3.0,Falcons,Bob Etter 17 yard field goal,14,17
5,4.0,Giants,Homer Jones 1 yard pass from Fran Tarkenton (Pete Gogolak kick),21,17
6,4.0,Falcons,Perry Lee Dunn 1 yard rush (Bob Etter kick),21,24
