,Quarter,Tm,Detail,WAS,CIN
0,1,Redskins,Chip Lohmiller 43 yard field goal,3,0
1,2,Redskins,Gary Clark 20 yard pass from Doug Williams (Chip Lohmiller kick),10,0
2,2,Bengals,Lee Johnson 50 yard field goal,10,3
3,2,Bengals,Tim McGee 17 yard pass from Boomer Esiason (Jim Breech kick),10,10
4,3,Redskins,Ricky Sanders 44 yard pass from Doug Williams (Chip Lohmiller kick),17,10
5,4,Bengals,Eddie Brown 69 yard pass from Boomer Esiason (Jim Breech kick),17,17
6,OT,Bengals,Jim Breech 20 yard field goal,17,20
