,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Barry Sanders 20 yard rush (Jason Hanson kick),7,0
1,2.0,Lions,Jason Hanson 30 yard field goal,10,0
2,2.0,Buccaneers,Michael Husted 52 yard field goal,10,3
3,3.0,Buccaneers,Courtney Hawkins 15 yard pass from Craig Erickson (Michael Husted kick),10,10
4,3.0,Buccaneers,Reggie Cobb 3 yard rush (Michael Husted kick),10,17
5,3.0,Buccaneers,Ron Hall 37 yard pass from Craig Erickson (Michael Husted kick),10,24
6,4.0,Buccaneers,Michael Husted 46 yard field goal,10,27
