,Quarter,Tm,Detail,MIN,NOR
0,2.0,Saints,Craig Heyward 8 yard rush (Morten Andersen kick),0,7
1,2.0,Saints,Morten Andersen 34 yard field goal,0,10
2,2.0,Saints,Morten Andersen 30 yard field goal,0,13
3,4.0,Saints,Morten Andersen 38 yard field goal,0,16
4,4.0,Saints,Craig Heyward 8 yard rush (Morten Andersen kick),0,23
5,4.0,Saints,Morten Andersen 26 yard field goal,0,26
